model,strategy,train_s,pr_auc,roc_auc,threshold,precision,recall,f1,mcc,tp,fp,fn,tn,spw
decision_tree,class_weight,5.9,0.4053806929567211,0.855441131401994,1.0,0.5692307692307692,0.7115384615384616,0.6324786324786325,0.6359293051178553,37,28,15,42642,518.2
decision_tree,raw,11.3,0.2622235818871919,0.8167569540841161,1.0,0.4125,0.6346153846153846,0.5,0.5109229024686753,33,47,19,42623,
gaussian_nb,gan,0.3,0.0789603399332972,0.949138288475059,1.0,0.0967741935483871,0.6923076923076923,0.1698113207547169,0.2568596887784971,36,336,16,42334,
gaussian_nb,raw,0.2,0.0554547024483729,0.9574750770672964,1.0,0.0707964601769911,0.6153846153846154,0.1269841269841269,0.2063581665506587,32,420,20,42250,
gaussian_nb,smote,0.4,0.054722083759751,0.9550726956427684,1.0,0.0669456066945606,0.6153846153846154,0.120754716981132,0.2005272079762511,32,446,20,42224,
gaussian_nb,smote_enn,90.6,0.0545654716250872,0.9552694200573272,1.0,0.0679405520169851,0.6153846153846154,0.1223709369024856,0.2020498728750572,32,439,20,42231,
decision_tree,smote_enn,114.1,0.0545644788601981,0.859830361810676,1.0,0.07421875,0.7307692307692307,0.1347517730496454,0.2305940716727161,38,474,14,42196,
gaussian_nb,rus,0.1,0.0504942156187645,0.9575647635701536,1.0,0.0634920634920634,0.6153846153846154,0.1151079136690647,0.1951497530275462,32,472,20,42198,
decision_tree,smote,30.6,0.0484807654338151,0.849793135151701,1.0,0.0676416819012797,0.7115384615384616,0.1235392320534223,0.2169616935089121,37,510,15,42160,
decision_tree,gan,41.2,0.022442058068983,0.9127368354635756,1.0,0.0257437070938215,0.8653846153846154,0.05,0.1452918732723886,45,1703,7,40967,
decision_tree,rus,0.0,0.009001359714985,0.8740963746822664,1.0,0.0104166666666666,0.8461538461538461,0.0205799812909261,0.0873967835368725,44,4180,8,38490,
lightgbm,class_weight_fixed,1.4,0.0087146413114426,0.8945568405112581,1.0,0.009512244484922,0.903846153846154,0.0188263568996595,0.0860358586831393,47,4894,5,37776,518.2
